"#","00_IDENTIFICADOR DE L'ALUMNE/A","01_NOM","02_DATA NAIXEMENT","03_RESPONSABLE 1","04_TELÈFON RESP. 1","05_MÒBIL RESP. 1","06_ADREÇA ELECTR. RESP. 1","07_RESPONSABLE 2","08_TELÈFON RESP. 2","09_MÒBIL RESP. 2","10_ADREÇA ELECTR. RESP. 2","11_ADREÇA","12_LOCALITAT","13_MUNICIPI","14_CORREU ELECTRÒNIC","15_ALTRES TELÈFONS","16_CENTRE PROCEDÈNCIA","17_GRUPSCLASSE"
"1","76349193044","Campos Villanueva, Xavi","01/02/1998","Segura Prat, Samuel","+34 XXXXXXX","+34 XXXXXXX","xavi@mailintaor.com","Singh Roman, Ainhoa","+34 XXXXZZZZ","+34 XXXXLLL","samuel@mailintaor.com","c/ de l'aviador Ainhoa Singh Roman","L'Armentera","Albanyà","xavi@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","29179946347","Santiago Cuenca, Elena","14/06/1998","Duran Serrano, Ian","+34 XXXXXXX","+34 XXXXXXX","elena@mailintaor.com","Barrera Casas, Naia","+34 XXXXZZZZ","+34 XXXXLLL","ian@mailintaor.com","c/ de l'aviador Naia Barrera Casas","L'Armentera","Albanyà","elena@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","31152261231","Muñoz Linares, Víctor","06/07/1990","Salas Ponce, Marwa","+34 XXXXXXX","+34 XXXXXXX","victor@mailintaor.com","Miguel Singh, Leyre","+34 XXXXZZZZ","+34 XXXXLLL","marwa@mailintaor.com","c/ de l'aviador Leyre Miguel Singh","L'Armentera","Albanyà","victor@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","88755099837","Alba Nadal, Sergi","16/02/1999","Romero Ortiz, Roc","+34 XXXXXXX","+34 XXXXXXX","sergi@mailintaor.com","Cuenca Luna, Judith","+34 XXXXZZZZ","+34 XXXXLLL","roc@mailintaor.com","c/ de l'aviador Judith Cuenca Luna","L'Armentera","Albanyà","sergi@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","48504722039","Cuenca Palau, Arlet","27/02/1998","Luna Arenas, Diego","+34 XXXXXXX","+34 XXXXXXX","arlet@mailintaor.com","Valverde Camps, Laia","+34 XXXXZZZZ","+34 XXXXLLL","diego@mailintaor.com","c/ de l'aviador Laia Valverde Camps","L'Armentera","Albanyà","arlet@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","80878429155","Rivas Alonso, Ainhoa","21/05/1991","Bonet Vazquez, Eloi","+34 XXXXXXX","+34 XXXXXXX","ainhoa@mailintaor.com","Bonet Herrero, Malak","+34 XXXXZZZZ","+34 XXXXLLL","eloi@mailintaor.com","c/ de l'aviador Malak Bonet Herrero","L'Armentera","Albanyà","ainhoa@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","50217076184","Salvador Andres, Lluc","19/01/1990","Campos Pastor, Ariadna","+34 XXXXXXX","+34 XXXXXXX","lluc@mailintaor.com","Roig Castells, Sergi","+34 XXXXZZZZ","+34 XXXXLLL","ariadna@mailintaor.com","c/ de l'aviador Sergi Roig Castells","L'Armentera","Albanyà","lluc@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","83542199371","Cardenas Vera, Miquel","19/05/1997","Garcia Dalmau, Miguel","+34 XXXXXXX","+34 XXXXXXX","miquel@mailintaor.com","Alonso Romero, Naiara","+34 XXXXZZZZ","+34 XXXXLLL","miguel@mailintaor.com","c/ de l'aviador Naiara Alonso Romero","L'Armentera","Albanyà","miquel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","99963869603","Linares Cardona, Elsa","06/07/1990","Guerrero Villanueva, Miguel","+34 XXXXXXX","+34 XXXXXXX","elsa@mailintaor.com","Pallares Beltran, Elena","+34 XXXXZZZZ","+34 XXXXLLL","miguel@mailintaor.com","c/ de l'aviador Elena Pallares Beltran","L'Armentera","Albanyà","elsa@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","44198273044","Bosch Ramon, Mario","16/07/1995","Medina Cabrera, Paula","+34 XXXXXXX","+34 XXXXXXX","mario@mailintaor.com","Cruz Morales, Nerea","+34 XXXXZZZZ","+34 XXXXLLL","paula@mailintaor.com","c/ de l'aviador Nerea Cruz Morales","L'Armentera","Albanyà","mario@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","30453287887","Valero Reyes, Guillem","12/11/1997","Vives Manzano, Lucas","+34 XXXXXXX","+34 XXXXXXX","guillem@mailintaor.com","Mas Ferre, Miquel","+34 XXXXZZZZ","+34 XXXXLLL","lucas@mailintaor.com","c/ de l'aviador Miquel Mas Ferre","L'Armentera","Albanyà","guillem@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","62249572752","Sanchez Ribera, Álvaro","18/11/1999","Lozano Segura, Adrià","+34 XXXXXXX","+34 XXXXXXX","alvaro@mailintaor.com","Ros Montero, Aleix","+34 XXXXZZZZ","+34 XXXXLLL","adria@mailintaor.com","c/ de l'aviador Aleix Ros Montero","L'Armentera","Albanyà","alvaro@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","54775009603","Andres Egea, Antonio","15/06/1990","Manzano Arias, Marcos","+34 XXXXXXX","+34 XXXXXXX","antonio@mailintaor.com","Domingo Blanco, Judith","+34 XXXXZZZZ","+34 XXXXLLL","marcos@mailintaor.com","c/ de l'aviador Judith Domingo Blanco","L'Armentera","Albanyà","antonio@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","49319072605","Guillen Hidalgo, Daniela","22/01/1998","Perez Pastor, Gabriel","+34 XXXXXXX","+34 XXXXXXX","daniela@mailintaor.com","Arias Costa, Daniel","+34 XXXXZZZZ","+34 XXXXLLL","gabriel@mailintaor.com","c/ de l'aviador Daniel Arias Costa","L'Armentera","Albanyà","daniela@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
